,country,year,sex,age,generation,incomelevel,depression,alcohol
9159,36,2008,0,2,0,0,2.795158,2.227769
13511,55,1999,0,1,2,0,4.131751,1.476471
32,0,1994,0,2,0,2,2.15007,1.701142
16003,66,2004,0,0,4,2,2.346814,1.805089
4202,16,2014,0,4,0,0,4.02991,2.441051
17657,74,2002,1,4,5,2,3.889723,1.736119
8378,33,1993,0,4,5,2,2.752073,1.633989
19990,84,2001,1,3,4,0,4.774031,2.043577
1238,4,2001,0,1,2,0,4.823557,1.543209
3287,13,2011,0,4,0,2,3.449547,2.70827
1110,4,1990,1,3,2,0,4.621187,1.35291
3926,16,1991,0,1,0,0,4.401109,2.221128
1129,4,1992,0,5,1,0,4.715412,1.430158
15757,65,2011,1,2,2,0,3.49216,0.734531
17907,75,2000,1,3,4,0,4.560509,1.689706
7137,28,2011,0,1,4,0,4.961094,2.820935
19736,83,2006,1,5,5,0,4.085044,1.761617
11385,45,2007,1,5,5,0,3.553385,0.677825
20024,84,2004,0,5,5,0,4.785232,2.066706
5359,21,2005,0,0,4,0,3.328013,1.065441
10620,41,2011,0,3,3,2,2.557727,1.450941
12776,51,2001,1,2,0,2,2.764529,1.705871
3578,14,2011,0,4,0,2,2.545709,1.838541
1798,6,1999,1,2,0,2,2.545394,2.149846
10761,42,2002,1,0,4,0,3.016933,0.566648
1855,6,2003,1,3,4,2,2.548794,2.155136
15008,62,2009,1,0,4,0,2.282486,2.008557
20347,85,2009,1,2,0,0,3.514906,1.122794
6737,26,2010,1,2,2,0,4.013452,5.024749
17289,72,1998,0,0,2,0,3.525654,0.829022
4752,18,2008,0,0,4,2,2.870763,1.440379
15388,64,1994,1,0,2,0,2.836966,2.115659
2186,8,2001,0,3,4,0,2.712217,1.57895
15557,64,2008,0,4,5,0,2.738188,1.777734
8942,35,1991,0,5,1,2,3.730154,1.826493
13316,54,2010,1,5,5,0,4.036617,0.72447
10216,40,1993,0,0,2,0,3.596572,0.449365
1274,4,2004,0,1,2,0,4.920486,1.460324
3580,14,2011,0,0,4,2,2.545709,1.838541
13306,54,2009,0,2,0,0,4.039477,0.723056
16573,69,1995,0,0,2,0,4.000114,0.483978
16357,68,2002,0,1,2,0,2.951102,0.852625
13965,57,2007,0,2,0,0,3.63695,1.428354
11698,47,1999,1,0,2,0,3.891792,1.445168
19664,83,2000,1,4,5,0,4.240516,1.600301
16395,68,2005,0,4,5,0,2.936018,0.850159
10187,40,1991,0,5,1,0,3.715023,0.454951
1140,4,1993,1,2,0,0,4.754454,1.462686
11137,44,1996,1,0,2,1,3.265102,1.026453
469,1,2014,0,1,4,0,2.539623,2.134396
8617,34,1990,0,3,2,2,3.213616,3.375219
3898,15,2013,1,0,4,0,3.926503,1.599727
872,3,1995,1,3,4,2,2.612533,2.16216
